類別：所有類別

天,興富發: (台灣)
2018-04-01,0
2018-04-02,63
2018-04-03,0
2018-04-04,0
2018-04-05,0
2018-04-06,66
2018-04-07,0
2018-04-08,60
2018-04-09,60
2018-04-10,59
2018-04-11,65
2018-04-12,50
2018-04-13,88
2018-04-14,0
2018-04-15,0
2018-04-16,91
2018-04-17,64
2018-04-18,0
2018-04-19,48
2018-04-20,73
2018-04-21,86
2018-04-22,54
2018-04-23,67
2018-04-24,60
2018-04-25,60
2018-04-26,0
2018-04-27,73
2018-04-28,52
2018-04-29,56
2018-04-30,59
2018-05-01,67
2018-05-02,74
2018-05-03,97
2018-05-04,45
2018-05-05,61
2018-05-06,43
2018-05-07,57
2018-05-08,51
2018-05-09,40
2018-05-10,65
2018-05-11,50
2018-05-12,0
2018-05-13,71
2018-05-14,60
2018-05-15,55
2018-05-16,76
2018-05-17,57
2018-05-18,82
2018-05-19,0
2018-05-20,72
2018-05-21,100
2018-05-22,56
2018-05-23,70
2018-05-24,82
2018-05-25,38
2018-05-26,85
2018-05-27,0
2018-05-28,73
2018-05-29,47
2018-05-30,46
2018-05-31,66
2018-06-01,84
