類別：所有類別

天,興富發: (台灣)
2018-06-01,84
2018-06-02,89
2018-06-03,0
2018-06-04,41
2018-06-05,71
2018-06-06,46
2018-06-07,78
2018-06-08,89
2018-06-09,56
2018-06-10,46
2018-06-11,56
2018-06-12,57
2018-06-13,69
2018-06-14,67
2018-06-15,59
2018-06-16,0
2018-06-17,0
2018-06-18,52
2018-06-19,0
2018-06-20,100
2018-06-21,64
2018-06-22,38
2018-06-23,0
2018-06-24,46
2018-06-25,80
2018-06-26,45
2018-06-27,76
2018-06-28,59
2018-06-29,80
2018-06-30,63
2018-07-01,66
2018-07-02,68
2018-07-03,81
2018-07-04,42
2018-07-05,0
2018-07-06,56
2018-07-07,0
2018-07-08,48
2018-07-09,56
2018-07-10,54
2018-07-11,56
2018-07-12,77
2018-07-13,61
2018-07-14,0
2018-07-15,0
2018-07-16,80
2018-07-17,0
2018-07-18,69
2018-07-19,63
2018-07-20,54
2018-07-21,0
2018-07-22,52
2018-07-23,68
2018-07-24,68
2018-07-25,63
2018-07-26,67
2018-07-27,61
2018-07-28,47
2018-07-29,0
2018-07-30,79
2018-07-31,52
2018-08-01,81
