類別：所有類別

天,興富發: (台灣)
2017-12-01,42
2017-12-02,0
2017-12-03,0
2017-12-04,32
2017-12-05,60
2017-12-06,0
2017-12-07,41
2017-12-08,42
2017-12-09,38
2017-12-10,34
2017-12-11,36
2017-12-12,0
2017-12-13,33
2017-12-14,31
2017-12-15,0
2017-12-16,34
2017-12-17,54
2017-12-18,52
2017-12-19,0
2017-12-20,38
2017-12-21,38
2017-12-22,0
2017-12-23,0
2017-12-24,0
2017-12-25,55
2017-12-26,34
2017-12-27,0
2017-12-28,36
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,39
2018-01-03,32
2018-01-04,35
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,42
2018-01-09,53
2018-01-10,37
2018-01-11,0
2018-01-12,49
2018-01-13,46
2018-01-14,0
2018-01-15,42
2018-01-16,33
2018-01-17,43
2018-01-18,35
2018-01-19,38
2018-01-20,0
2018-01-21,33
2018-01-22,52
2018-01-23,69
2018-01-24,100
2018-01-25,78
2018-01-26,85
2018-01-27,43
2018-01-28,0
2018-01-29,0
2018-01-30,36
2018-01-31,43
2018-02-01,48
