類別：所有類別

天,中工: (台灣)
2017-10-01,25
2017-10-02,65
2017-10-03,37
2017-10-04,42
2017-10-05,64
2017-10-06,55
2017-10-07,43
2017-10-08,53
2017-10-09,49
2017-10-10,35
2017-10-11,58
2017-10-12,47
2017-10-13,45
2017-10-14,46
2017-10-15,28
2017-10-16,45
2017-10-17,52
2017-10-18,55
2017-10-19,32
2017-10-20,35
2017-10-21,34
2017-10-22,65
2017-10-23,47
2017-10-24,26
2017-10-25,43
2017-10-26,46
2017-10-27,54
2017-10-28,27
2017-10-29,26
2017-10-30,35
2017-10-31,44
2017-11-01,42
2017-11-02,31
2017-11-03,35
2017-11-04,34
2017-11-05,51
2017-11-06,37
2017-11-07,38
2017-11-08,36
2017-11-09,41
2017-11-10,37
2017-11-11,35
2017-11-12,31
2017-11-13,51
2017-11-14,51
2017-11-15,48
2017-11-16,61
2017-11-17,33
2017-11-18,31
2017-11-19,34
2017-11-20,32
2017-11-21,43
2017-11-22,40
2017-11-23,0
2017-11-24,28
2017-11-25,40
2017-11-26,0
2017-11-27,57
2017-11-28,45
2017-11-29,100
2017-11-30,64
2017-12-01,62
