類別：所有類別

天,中工: (台灣)
2018-02-01,33
2018-02-02,67
2018-02-03,47
2018-02-04,40
2018-02-05,68
2018-02-06,49
2018-02-07,64
2018-02-08,0
2018-02-09,45
2018-02-10,59
2018-02-11,100
2018-02-12,40
2018-02-13,78
2018-02-14,68
2018-02-15,0
2018-02-16,53
2018-02-17,42
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,72
2018-02-22,55
2018-02-23,56
2018-02-24,51
2018-02-25,65
2018-02-26,94
2018-02-27,75
2018-02-28,46
2018-03-01,72
2018-03-02,72
2018-03-03,77
2018-03-04,51
2018-03-05,59
2018-03-06,67
2018-03-07,73
2018-03-08,75
2018-03-09,41
2018-03-10,50
2018-03-11,54
2018-03-12,72
2018-03-13,77
2018-03-14,72
2018-03-15,85
2018-03-16,94
2018-03-17,58
2018-03-18,43
2018-03-19,81
2018-03-20,67
2018-03-21,56
2018-03-22,82
2018-03-23,57
2018-03-24,46
2018-03-25,42
2018-03-26,73
2018-03-27,78
2018-03-28,96
2018-03-29,78
2018-03-30,96
2018-03-31,56
2018-04-01,44
