類別：所有類別

天,中工: (台灣)
2018-08-01,26
2018-08-02,26
2018-08-03,28
2018-08-04,16
2018-08-05,0
2018-08-06,18
2018-08-07,28
2018-08-08,24
2018-08-09,21
2018-08-10,21
2018-08-11,15
2018-08-12,17
2018-08-13,22
2018-08-14,19
2018-08-15,22
2018-08-16,25
2018-08-17,18
2018-08-18,22
2018-08-19,19
2018-08-20,20
2018-08-21,24
2018-08-22,28
2018-08-23,24
2018-08-24,28
2018-08-25,16
2018-08-26,11
2018-08-27,24
2018-08-28,26
2018-08-29,30
2018-08-30,17
2018-08-31,21
2018-09-01,28
2018-09-02,100
2018-09-03,98
2018-09-04,57
2018-09-05,38
2018-09-06,26
2018-09-07,26
2018-09-08,21
2018-09-09,16
2018-09-10,56
2018-09-11,23
2018-09-12,22
2018-09-13,21
2018-09-14,14
2018-09-15,10
2018-09-16,20
2018-09-17,22
2018-09-18,19
2018-09-19,22
2018-09-20,24
2018-09-21,23
2018-09-22,17
2018-09-23,14
2018-09-24,25
2018-09-25,26
2018-09-26,26
2018-09-27,22
2018-09-28,28
2018-09-29,12
2018-09-30,0
2018-10-01,36
