類別：所有類別

天,中工: (台灣)
2018-04-01,36
2018-04-02,56
2018-04-03,64
2018-04-04,45
2018-04-05,66
2018-04-06,0
2018-04-07,28
2018-04-08,29
2018-04-09,100
2018-04-10,49
2018-04-11,58
2018-04-12,63
2018-04-13,59
2018-04-14,51
2018-04-15,48
2018-04-16,59
2018-04-17,36
2018-04-18,52
2018-04-19,48
2018-04-20,53
2018-04-21,45
2018-04-22,52
2018-04-23,80
2018-04-24,53
2018-04-25,40
2018-04-26,61
2018-04-27,58
2018-04-28,47
2018-04-29,41
2018-04-30,53
2018-05-01,41
2018-05-02,55
2018-05-03,57
2018-05-04,43
2018-05-05,33
2018-05-06,34
2018-05-07,69
2018-05-08,39
2018-05-09,49
2018-05-10,43
2018-05-11,31
2018-05-12,46
2018-05-13,42
2018-05-14,51
2018-05-15,61
2018-05-16,75
2018-05-17,57
2018-05-18,47
2018-05-19,32
2018-05-20,40
2018-05-21,47
2018-05-22,67
2018-05-23,52
2018-05-24,62
2018-05-25,68
2018-05-26,45
2018-05-27,41
2018-05-28,54
2018-05-29,51
2018-05-30,68
2018-05-31,57
2018-06-01,56
