類別：所有類別

天,中工: (台灣)
2017-12-01,79
2017-12-02,77
2017-12-03,56
2017-12-04,76
2017-12-05,45
2017-12-06,60
2017-12-07,58
2017-12-08,86
2017-12-09,0
2017-12-10,47
2017-12-11,54
2017-12-12,63
2017-12-13,72
2017-12-14,62
2017-12-15,65
2017-12-16,0
2017-12-17,0
2017-12-18,69
2017-12-19,73
2017-12-20,46
2017-12-21,85
2017-12-22,57
2017-12-23,35
2017-12-24,60
2017-12-25,83
2017-12-26,100
2017-12-27,61
2017-12-28,84
2017-12-29,65
2017-12-30,0
2017-12-31,36
2018-01-01,41
2018-01-02,63
2018-01-03,61
2018-01-04,55
2018-01-05,62
2018-01-06,55
2018-01-07,39
2018-01-08,58
2018-01-09,51
2018-01-10,78
2018-01-11,52
2018-01-12,58
2018-01-13,47
2018-01-14,51
2018-01-15,62
2018-01-16,34
2018-01-17,57
2018-01-18,0
2018-01-19,54
2018-01-20,37
2018-01-21,56
2018-01-22,28
2018-01-23,49
2018-01-24,54
2018-01-25,44
2018-01-26,65
2018-01-27,79
2018-01-28,51
2018-01-29,42
2018-01-30,65
2018-01-31,62
2018-02-01,30
